iter	MultiClass
0	1.866833243
1	1.802671216
2	1.749725198
3	1.704338832
4	1.664681503
5	1.630075379
6	1.592524191
7	1.563998873
8	1.534790908
9	1.508699305
10	1.486816593
11	1.463790656
12	1.44424631
13	1.426299483
14	1.408879962
15	1.392948008
16	1.380879834
17	1.36813702
18	1.356221171
19	1.346116528
20	1.337331697
21	1.326036418
22	1.316067195
23	1.308744255
24	1.300205945
25	1.293397759
26	1.28665834
27	1.280447091
28	1.275185594
29	1.268954761
30	1.263631189
31	1.258887782
32	1.254609969
33	1.24906392
34	1.245526133
35	1.241766384
36	1.238244985
37	1.235646786
38	1.232060914
39	1.228851912
40	1.226568217
41	1.225069428
42	1.22188191
43	1.219549009
44	1.216468957
45	1.213778748
46	1.210875204
47	1.207870013
48	1.206388981
49	1.204337406
50	1.203106826
51	1.20170252
52	1.200891266
53	1.198834641
54	1.197174659
55	1.19567192
56	1.194012543
57	1.192703957
58	1.192122336
59	1.190406928
60	1.188768931
61	1.187145407
62	1.186392329
63	1.185061057
64	1.183871359
65	1.182923843
66	1.181844868
67	1.180762982
68	1.180183377
69	1.179307109
70	1.178270307
71	1.177994695
72	1.176764307
73	1.176328223
74	1.175844346
75	1.174612732
76	1.173698516
77	1.172639488
78	1.171970345
79	1.171697556
80	1.171393051
81	1.171194529
82	1.17035435
83	1.169640672
84	1.169395657
85	1.169354487
86	1.168476646
87	1.167795429
88	1.167246281
89	1.167020258
90	1.166926704
91	1.166487618
92	1.166206777
93	1.165804968
94	1.165626287
95	1.165186783
96	1.165093127
97	1.164743856
98	1.164074452
99	1.164071484
100	1.163689188
101	1.163519434
102	1.163309295
103	1.163068053
104	1.16277847
105	1.162656922
106	1.162156851
107	1.161928237
108	1.161619246
109	1.161354628
110	1.161014098
111	1.160483715
112	1.160304677
113	1.160113679
114	1.15985661
115	1.159683052
116	1.159354109
117	1.159064591
118	1.158875639
119	1.158734467
120	1.157914579
121	1.157556563
122	1.15743593
123	1.15731117
124	1.15707804
125	1.156747147
126	1.156629071
127	1.156353906
128	1.156348947
129	1.155801736
130	1.155285965
131	1.15508758
132	1.154814821
133	1.154689084
134	1.154275264
135	1.154112542
136	1.154015005
137	1.153835875
138	1.153706807
139	1.153663265
140	1.153479903
141	1.153479855
142	1.153094156
143	1.152997387
144	1.152148973
145	1.151504392
146	1.151104513
147	1.150795046
148	1.150253494
149	1.150148797
150	1.149990621
151	1.149961168
152	1.149651653
153	1.149412351
154	1.149292845
155	1.148895766
156	1.148627212
157	1.148389038
158	1.148372754
159	1.148310895
160	1.148120972
161	1.148012956
162	1.147636288
163	1.14753684
164	1.147447238
165	1.147146548
166	1.146825597
167	1.146741637
168	1.146741602
169	1.145947807
170	1.14594341
171	1.145720356
172	1.145579613
173	1.145516182
174	1.145409175
175	1.14533762
176	1.14522429
177	1.145116252
178	1.145066815
179	1.144991417
180	1.144776898
181	1.144741649
182	1.144586945
183	1.144376287
184	1.144371814
185	1.144199596
186	1.143774207
187	1.143475412
188	1.143204137
189	1.142955202
190	1.142781987
191	1.142702486
192	1.142612047
193	1.142434855
194	1.142292532
195	1.142169053
196	1.142012536
197	1.141939169
198	1.14144915
199	1.141346413
200	1.141227181
201	1.140682477
202	1.140639507
203	1.140492206
204	1.140218478
205	1.139863797
206	1.139741214
207	1.139575491
208	1.139494195
209	1.139385144
210	1.139233728
211	1.138985934
212	1.138869879
213	1.138635009
214	1.138346477
215	1.138262065
216	1.138165307
217	1.138066291
218	1.137881958
219	1.137817822
220	1.137692562
221	1.137406859
222	1.137283091
223	1.137147163
224	1.136657116
225	1.136304965
226	1.136080778
227	1.13603763
228	1.135845936
229	1.135444563
230	1.135106814
231	1.135022704
232	1.134982569
233	1.134545125
234	1.134352874
235	1.134150779
236	1.134047797
237	1.133977578
238	1.133784933
239	1.133615738
240	1.13338298
241	1.133201769
242	1.13299899
243	1.132918711
244	1.132827875
245	1.132619445
246	1.13252318
247	1.132156616
248	1.132001101
249	1.131693268
250	1.131543412
251	1.131281951
252	1.13122836
253	1.130929696
254	1.130602786
255	1.130481032
256	1.130253392
257	1.130093442
258	1.130028117
259	1.129921366
260	1.129807473
261	1.129738058
262	1.129708127
263	1.129553984
264	1.129461815
265	1.129418977
266	1.129306586
267	1.129204532
268	1.129031416
269	1.12880593
270	1.128773243
271	1.128617178
272	1.128294116
273	1.128238242
274	1.128131265
275	1.127984088
276	1.127850696
277	1.127810848
278	1.127598822
279	1.12751888
280	1.127405065
281	1.127303055
282	1.127241189
283	1.127217959
284	1.12715928
285	1.127062043
286	1.126938048
287	1.126657201
288	1.126408899
289	1.126310623
290	1.126245832
291	1.126126971
292	1.126022309
293	1.125840923
294	1.125737431
295	1.125663955
296	1.125463089
297	1.125193296
298	1.125104467
299	1.124837509
300	1.124674966
301	1.124564195
302	1.124426657
303	1.124102873
304	1.124002394
305	1.12385603
306	1.123712681
307	1.12366422
308	1.123486856
309	1.123254638
310	1.12321743
311	1.123067028
312	1.122944284
313	1.122902386
314	1.12276978
315	1.122725058
316	1.122704024
317	1.12268902
318	1.122586845
319	1.1225339
320	1.122438911
321	1.122322552
322	1.122282091
323	1.122227216
324	1.122041352
325	1.121932272
326	1.121778683
327	1.121629342
328	1.121543255
329	1.121487625
330	1.121412967
331	1.121288017
332	1.121170568
333	1.121053568
334	1.120931236
