iter	Passed	Remaining
0	365	364724
1	549	274319
2	766	254891
3	908	226101
4	1058	210589
5	1194	197906
6	1354	192108
7	1626	201732
8	1795	197716
9	1988	196829
10	2178	195880
11	2534	208681
12	3039	230767
13	3193	224899
14	3365	221011
15	3587	220647
16	3753	217040
17	3892	212353
18	4060	209670
19	4233	207441
20	4378	204136
21	4549	202259
22	4694	199432
23	4851	197295
24	5003	195122
25	5139	192547
26	5273	190048
27	5404	187600
28	5533	185279
29	5685	183823
30	5821	181972
31	5961	180320
32	6088	178410
33	6237	177222
34	6366	175541
35	6510	174331
36	6666	173509
37	6798	172115
38	6933	170841
39	7065	169575
40	7202	168460
41	7321	167004
42	7462	166081
43	7592	164957
44	7742	164305
45	7884	163527
46	8028	162789
47	8186	162375
48	8348	162026
49	8482	161172
50	8605	160137
51	8733	159211
52	8879	158661
53	9005	157765
54	9154	157295
55	9293	156665
56	9440	156187
57	9579	155590
58	9728	155162
59	9871	154656
60	10005	154020
61	10150	153565
62	10277	152852
63	10414	152309
64	10572	152087
65	10706	151509
66	10865	151301
67	11001	150778
68	11132	150214
69	11277	149828
70	11404	149220
71	11527	148574
72	11654	147997
73	11790	147544
74	11927	147107
75	12063	146672
76	12217	146448
77	12354	146037
78	12486	145574
79	12625	145189
80	12755	144722
81	12881	144212
82	13014	143789
83	13162	143532
84	13287	143039
85	13348	141869
86	13469	141352
87	13600	140954
88	13728	140521
89	13868	140227
90	13990	139748
91	14122	139379
92	14223	138718
93	14337	138187
94	14457	137725
95	14599	137481
96	14716	137000
97	14850	136681
98	15018	136683
99	15130	136177
100	15259	135826
101	15388	135479
102	15504	135026
103	15620	134576
104	15747	134231
105	15845	133644
106	15961	133211
107	16076	132778
108	16200	132430
109	16319	132041
110	16453	131779
111	16575	131416
112	16700	131092
113	16817	130706
114	16961	130528
115	17086	130207
116	17236	130086
117	17364	129789
118	17482	129431
119	17597	129048
120	17724	128761
121	17851	128470
122	17988	128262
123	18102	127888
124	18223	127562
125	18342	127235
126	18455	126864
127	18576	126549
128	18654	125953
129	18782	125694
130	18912	125460
131	19039	125201
132	19170	124968
133	19297	124714
134	19454	124654
135	19568	124314
136	19690	124033
137	19821	123810
138	19945	123550
139	20003	122880
140	20130	122641
141	20162	121824
142	20292	121614
143	20448	121552
144	20634	121673
145	20787	121590
146	20926	121432
147	21066	121272
148	21189	121020
149	21333	120891
150	21454	120630
151	21569	120335
152	21699	120127
153	21821	119875
154	21941	119616
155	22067	119391
156	22196	119183
157	22315	118920
158	22393	118448
159	22506	118157
160	22648	118024
161	22767	117772
162	22904	117613
163	23024	117367
164	23142	117113
165	23266	116891
166	23393	116686
167	23511	116439
168	23542	115762
169	23682	115628
170	23735	115067
171	23862	114874
172	23985	114657
173	24101	114413
174	24216	114163
175	24328	113901
176	24449	113683
177	24568	113455
178	24679	113195
179	24808	113017
180	24940	112850
181	25056	112614
182	25173	112384
183	25312	112256
184	25372	111777
185	25490	111556
186	25621	111393
187	25754	111235
188	25876	111035
189	26005	110866
190	26155	110784
191	26281	110602
192	26408	110422
193	26586	110455
194	26723	110318
195	26855	110164
196	26979	109971
197	27104	109788
198	27240	109646
199	27367	109471
200	27505	109337
201	27644	109209
202	27825	109245
203	27970	109139
204	28112	109022
205	28256	108911
206	28381	108727
207	28545	108693
208	28667	108496
209	28785	108288
210	28906	108090
211	29051	107982
212	29189	107850
213	29327	107718
214	29459	107561
215	29603	107449
216	29723	107252
217	29864	107129
218	29990	106951
219	30107	106746
220	30221	106525
221	30355	106381
222	30497	106264
223	30617	106069
224	30746	105905
225	30892	105800
226	31027	105656
227	31141	105444
228	31281	105319
229	31417	105180
230	31549	105029
231	31726	105025
232	31862	104887
233	32018	104813
234	32162	104698
235	32337	104685
236	32469	104533
237	32604	104390
238	32726	104205
239	32871	104094
240	33018	103987
241	33154	103846
242	33284	103687
243	33402	103491
244	33543	103369
245	33676	103219
246	33804	103054
247	33938	102910
248	34070	102760
249	34210	102630
250	34352	102510
251	34492	102383
252	34618	102212
253	34769	102118
254	34912	101998
255	35032	101814
256	35153	101630
257	35286	101482
258	35409	101308
259	35537	101144
260	35659	100967
261	35779	100783
262	35899	100601
263	36013	100402
264	36187	100369
265	36323	100231
266	36458	100091
267	36587	99932
268	36715	99772
269	36845	99619
270	36960	99425
271	37078	99239
272	37201	99068
273	37325	98899
274	37467	98777
275	37580	98580
276	37728	98475
277	37845	98290
278	37972	98128
279	38099	97969
280	38237	97837
281	38388	97740
282	38530	97620
283	38722	97623
284	38880	97541
285	39021	97416
286	39201	97389
287	39338	97253
288	39462	97086
289	39590	96928
290	39710	96752
291	39843	96607
292	39967	96441
293	40110	96319
294	40246	96182
295	40383	96048
296	40546	95972
297	40708	95896
298	40858	95792
299	41048	95780
300	41203	95685
301	41360	95593
302	41510	95488
303	41749	95583
304	41920	95524
305	42086	95451
306	42233	95334
307	42370	95196
308	42521	95089
309	42685	95009
310	42818	94862
311	42948	94705
312	43089	94576
313	43227	94439
314	43351	94271
315	43473	94101
316	43605	93951
317	43721	93766
318	43843	93597
319	43968	93433
320	44090	93262
321	44227	93125
322	44354	92966
323	44479	92801
324	44601	92633
325	44751	92523
326	44895	92398
327	45041	92281
328	45189	92163
329	45323	92020
330	45457	91875
331	45585	91720
332	45719	91576
333	45864	91453
334	45986	91285
335	46114	91131
336	46259	91009
337	46388	90855
338	46508	90683
